collection_date,site_name,name,sewershed_pop,N_Gene_gc_g_dry_weight,average_temp
2023-02-23,East Bay Municipal Utility District,"Oakland, CA",740000,157631.6261082024,6.9
2023-02-28,East Bay Municipal Utility District,"Oakland, CA",740000,320031.11481413204,8.5
2023-03-01,East Bay Municipal Utility District,"Oakland, CA",740000,262376.14946341456,8.899999999999999
2023-03-02,East Bay Municipal Utility District,"Oakland, CA",740000,197099.00605582923,9.5
2023-03-07,East Bay Municipal Utility District,"Oakland, CA",740000,104552.23139784946,8.65
2023-03-08,East Bay Municipal Utility District,"Oakland, CA",740000,102444.53814492752,9.7
2023-03-09,East Bay Municipal Utility District,"Oakland, CA",740000,116552.50899800398,9.75
2023-03-14,East Bay Municipal Utility District,"Oakland, CA",740000,146413.49117602993,13.1
2023-03-15,East Bay Municipal Utility District,"Oakland, CA",740000,85797.45938508371,10.3
2023-03-16,East Bay Municipal Utility District,"Oakland, CA",740000,65766.77161111111,11.5
2023-03-21,East Bay Municipal Utility District,"Oakland, CA",740000,126237.3697142857,9.95
2023-03-22,East Bay Municipal Utility District,"Oakland, CA",740000,87345.77955555555,11.25
2023-03-23,East Bay Municipal Utility District,"Oakland, CA",740000,18835.39643572327,10.95
2023-03-28,East Bay Municipal Utility District,"Oakland, CA",740000,120207.80393849988,10.1
2023-03-29,East Bay Municipal Utility District,"Oakland, CA",740000,58166.87331812481,9.25
2023-03-30,East Bay Municipal Utility District,"Oakland, CA",740000,523986.95998386544,9.6
2023-04-04,East Bay Municipal Utility District,"Oakland, CA",740000,83826.41982069382,9.65
2023-04-05,East Bay Municipal Utility District,"Oakland, CA",740000,139118.92243033744,9.95
2023-04-06,East Bay Municipal Utility District,"Oakland, CA",740000,143474.8173777031,11.45
2023-04-11,East Bay Municipal Utility District,"Oakland, CA",740000,37792.726988826485,13.1
2023-04-12,East Bay Municipal Utility District,"Oakland, CA",740000,288489.4501693252,11.75
2023-04-13,East Bay Municipal Utility District,"Oakland, CA",740000,15226.01960449438,11.850000000000001
2023-04-18,East Bay Municipal Utility District,"Oakland, CA",740000,63315.52367757984,11.05
2023-04-19,East Bay Municipal Utility District,"Oakland, CA",740000,102234.19156518747,12.0
2023-04-20,East Bay Municipal Utility District,"Oakland, CA",740000,144227.37906009538,13.55
2023-04-25,East Bay Municipal Utility District,"Oakland, CA",740000,111808.53003065952,15.2
2023-04-26,East Bay Municipal Utility District,"Oakland, CA",740000,84534.58227732986,16.7
2023-04-27,East Bay Municipal Utility District,"Oakland, CA",740000,87977.8242169297,17.85
2023-05-02,East Bay Municipal Utility District,"Oakland, CA",740000,68192.04815927603,11.4
2023-05-03,East Bay Municipal Utility District,"Oakland, CA",740000,173632.68660383194,12.399999999999999
2023-05-04,East Bay Municipal Utility District,"Oakland, CA",740000,78505.09925349845,12.5
2023-05-09,East Bay Municipal Utility District,"Oakland, CA",740000,62543.31732405153,13.6
2023-05-10,East Bay Municipal Utility District,"Oakland, CA",740000,128327.8820392157,12.8
2023-05-11,East Bay Municipal Utility District,"Oakland, CA",740000,116203.8225728149,13.55
2023-05-16,East Bay Municipal Utility District,"Oakland, CA",740000,125436.88688214651,17.25
2023-05-17,East Bay Municipal Utility District,"Oakland, CA",740000,85705.76059037435,13.600000000000001
2023-05-18,East Bay Municipal Utility District,"Oakland, CA",740000,47905.988013467664,13.2
2023-05-23,East Bay Municipal Utility District,"Oakland, CA",740000,36066.03676102302,14.3
2023-05-24,East Bay Municipal Utility District,"Oakland, CA",740000,3894.620176280432,13.6
2023-05-25,East Bay Municipal Utility District,"Oakland, CA",740000,101891.34047862267,13.55
2023-05-30,East Bay Municipal Utility District,"Oakland, CA",740000,63964.20290966132,14.05
2023-05-31,East Bay Municipal Utility District,"Oakland, CA",740000,10064.279840149396,13.05
2023-06-01,East Bay Municipal Utility District,"Oakland, CA",740000,32548.806300346027,13.8
2023-06-06,East Bay Municipal Utility District,"Oakland, CA",740000,8082.729243484412,16.25
2023-06-07,East Bay Municipal Utility District,"Oakland, CA",740000,76963.48548840337,15.85
2023-06-08,East Bay Municipal Utility District,"Oakland, CA",740000,0.0,15.9
2023-06-13,East Bay Municipal Utility District,"Oakland, CA",740000,5898.246967138136,14.85
2023-06-14,East Bay Municipal Utility District,"Oakland, CA",740000,29937.125898580125,14.95
2023-06-15,East Bay Municipal Utility District,"Oakland, CA",740000,252335.8305853976,15.4
2023-06-20,East Bay Municipal Utility District,"Oakland, CA",740000,70573.0667267974,15.6
2023-06-21,East Bay Municipal Utility District,"Oakland, CA",740000,67705.52267864527,14.4
2023-06-22,East Bay Municipal Utility District,"Oakland, CA",740000,34272.027895529405,14.100000000000001
2023-06-27,East Bay Municipal Utility District,"Oakland, CA",740000,74300.07225434174,12.7
2023-06-28,East Bay Municipal Utility District,"Oakland, CA",740000,95823.47094103212,13.05
2023-06-29,East Bay Municipal Utility District,"Oakland, CA",740000,129034.05293107184,15.55
2023-07-03,East Bay Municipal Utility District,"Oakland, CA",740000,34327.04483565397,15.85
2023-07-05,East Bay Municipal Utility District,"Oakland, CA",740000,33894.95407642242,14.95
2023-07-06,East Bay Municipal Utility District,"Oakland, CA",740000,75736.02581658972,14.65
2023-07-11,East Bay Municipal Utility District,"Oakland, CA",740000,53089.73459369139,17.0
2023-07-12,East Bay Municipal Utility District,"Oakland, CA",740000,63341.601569563936,14.7
2023-07-13,East Bay Municipal Utility District,"Oakland, CA",740000,97824.57623126052,16.0
2023-07-18,East Bay Municipal Utility District,"Oakland, CA",740000,46671.29346362679,15.0
