collection_date,site_name,name,sewershed_pop,N_Gene_gc_g_dry_weight,average_temp
2023-05-22,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,43266.38041084399,15.100000000000001
2023-05-23,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,14224.029412335116,14.3
2023-05-24,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,48864.572186761165,13.6
2023-05-25,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,14274.280212866084,13.55
2023-05-30,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,222393.22517647065,14.05
2023-05-31,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,31525.60927801052,13.05
2023-06-01,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,63297.65516834226,13.8
2023-06-05,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,8947.636332901004,14.2
2023-06-07,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,32112.91741579832,15.85
2023-06-08,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,30234.64562207086,15.9
2023-06-12,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,25908.478815254643,15.2
2023-06-14,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,32845.90877045579,14.95
2023-06-15,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,55717.98948078432,15.4
2023-06-28,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,11235.115467327883,13.05
2023-06-29,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,43988.71190859819,15.55
2023-07-03,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,36046.73895295835,15.85
2023-07-05,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,45134.31799652915,14.95
2023-07-06,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,38089.04856861864,14.65
2023-07-10,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,15415.109877436347,14.6
2023-07-12,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,27955.40495396682,14.7
2023-07-13,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,48123.47704419714,16.0
2023-07-17,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,75237.39823462183,18.5
2023-07-19,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,101717.11954584502,15.149999999999999
2023-07-20,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,75281.27157943236,17.700000000000003
2023-07-24,Regional Water Recycling Plant No.1 (RP-1),"Ontario, CA",890000,37040.37386056407,16.0
