collection_date,site_name,name,sewershed_pop,N_Gene_gc_g_dry_weight,average_temp
2023-05-24,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,112803.90148359133,14.75
2023-05-25,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,74108.41940282719,15.0
2023-05-30,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,66031.10833500796,15.65
2023-05-31,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,155478.98605594772,14.2
2023-06-01,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,160214.34542222222,15.25
2023-06-06,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,174187.61261506708,16.65
2023-06-07,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,100800.62921456584,17.25
2023-06-08,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,137131.53169247607,16.1
2023-06-13,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,16853.32275160494,16.4
2023-06-14,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,74179.3372634814,16.1
2023-06-15,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,260545.26184253395,16.950000000000003
2023-06-20,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,19846.463979530698,15.0
2023-06-21,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,31247.0783062126,15.549999999999999
2023-06-22,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,38830.16991826245,16.1
2023-06-27,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,95482.735565918,14.7
2023-06-28,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,20496.77940949891,14.35
2023-06-29,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,59798.0937683836,16.65
2023-07-04,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,35463.40893259295,16.35
2023-07-05,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,20010.15216199939,16.95
2023-07-06,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,44442.14160700876,16.4
2023-07-11,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,31510.32060734932,16.95
2023-07-12,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,75118.80678396256,16.35
2023-07-13,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,29759.139098605217,17.25
2023-07-18,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,6488.880628845317,16.4
2023-07-19,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,23617.92242968325,16.65
2023-07-20,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,130717.0342383632,18.35
2023-07-25,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,34738.73336032087,18.6
2023-07-26,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,49168.17021037849,16.95
2023-07-27,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,66448.3244417094,16.549999999999997
2023-08-01,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,152287.1718357743,16.4
2023-08-02,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,1047465.8210021788,16.45
2023-08-03,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,131894.1870649616,16.1
2023-08-08,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,368004.4854867793,17.75
2023-08-09,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,125268.35204676654,18.35
2023-08-10,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,52352.003043871744,18.05
2023-08-15,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,207833.48044705883,21.1
2023-08-16,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,203811.66988214,20.0
2023-08-17,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,90077.39841201504,19.4
2023-08-22,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,286915.6230501236,21.950000000000003
2023-08-23,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,71797.44454074865,23.9
2023-08-24,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,615846.3849680673,21.950000000000003
2023-08-29,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,60181.05623696626,19.15
2023-08-30,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,776429.9224568628,22.8
2023-08-31,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,60855.89360445152,18.35
2023-09-05,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,93207.1083572049,18.6
2023-09-06,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,26849.71150748924,18.05
2023-09-07,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,30079.18554124147,17.5
2023-09-12,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,79844.94446455505,17.85
2023-09-13,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,83985.7028247059,17.75
2023-09-14,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,135266.6818901961,17.85
2023-09-19,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,33653.182609530595,18.1
2023-09-20,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,29656.323961406782,18.35
2023-09-21,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,23163.57067518208,17.35
2023-09-26,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,203383.22504996185,19.75
2023-09-27,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,38640.03121808824,17.75
2023-09-28,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,100643.7704568471,18.35
2023-10-03,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,173995.80763707153,16.95
2023-10-04,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,147831.8776888889,20.25
2023-10-05,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,97626.12643078616,23.35
2023-10-10,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,82768.99997195677,17.8
2023-10-11,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,43760.59570443256,18.05
2023-10-12,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,55047.12355114439,16.1
2023-10-17,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,14120.51985882353,18.9
2023-10-18,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,119650.17783652178,20.0
2023-10-19,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,59849.31752817338,22.5
2023-10-24,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,70435.53407028462,16.3
2023-10-25,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,20428.66156479304,16.1
2023-10-26,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,321473.6133851662,12.5
2023-10-31,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,29196.15302618273,12.75
2023-11-01,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,153728.46673534712,14.45
2023-11-02,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,60161.41357192699,15.55
2023-11-07,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,73764.55672041059,15.25
2023-11-08,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,117437.97167152008,14.3
2023-11-09,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,151221.92981128453,11.95
2023-11-14,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,36064.1794375408,17.5
2023-11-15,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,74298.86164586745,17.200000000000003
2023-11-16,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,317985.9476377766,16.65
2023-11-21,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,13451.679140591346,11.4
2023-11-22,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,220491.1737617309,11.1
2023-11-23,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,145352.56437297034,12.75
2023-11-28,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,110027.53067212275,11.399999999999999
2023-11-29,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,46765.590785416425,12.55
2023-11-30,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,126789.47408009508,11.950000000000001
2023-12-05,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,21173.942201433,12.5
2023-12-06,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,117939.77672067223,12.200000000000001
2023-12-07,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,152770.15182076726,11.75
2023-12-12,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,180751.88530678736,12.5
2023-12-13,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,161272.4232069565,10.3
2023-12-14,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,222066.70692868883,10.0
2023-12-19,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,115515.84324566656,15.3
2023-12-20,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,129576.9304530031,13.35
2023-12-21,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,1441553.12153802,12.5
2023-12-26,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,156053.62788788928,10.85
2023-12-27,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,1359018.325845899,11.1
2023-12-28,City of San Leandro Water Pollution Control Plant,"San Leandro, CA",50000,251795.21354446208,15.15
