collection_date,site_name,name,sewershed_pop,N_Gene_gc_g_dry_weight,Average
2023-05-14,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,38280.23055028463,0.010937208728652751
2023-05-15,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,74174.43157947435,0.02119269473699267
2023-05-17,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,31968.892651108305,0.009133969328888087
2023-05-21,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,70579.48989370382,0.020165568541058235
2023-05-22,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,43028.866711643765,0.012293961917612504
2023-05-24,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,56366.791846050415,0.016104797670300118
2023-05-28,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,51558.00499747798,0.014730858570707996
2023-05-29,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,38850.461270026346,0.011100131791436098
2023-05-31,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,83957.03137096911,0.023987723248848316
2023-06-04,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,45390.17268509804,0.012968620767170869
2023-06-05,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,78639.82652056025,0.022468521863017215
2023-06-07,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,95017.2398271658,0.02714778280776166
2023-06-11,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,31529.14082667902,0.00900832595047972
2023-06-12,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,55302.780648663815,0.015800794471046806
2023-06-14,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,59678.876982926085,0.017051107709407452
2023-06-18,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,41801.46759529411,0.011943276455798317
2023-06-19,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,74858.31994897236,0.021388091413992102
2023-06-21,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,49319.14201510097,0.014091183432885993
2023-06-25,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,78849.0088797801,0.02252828825136574
2023-06-26,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,81897.45102074866,0.0233992717202139
2023-06-28,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,65332.3336243215,0.01866638103552043
2023-07-02,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,35468.65068326375,0.010133900195218216
2023-07-03,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,96896.64996036854,0.027684757131533868
2023-07-05,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,117792.47816687782,0.03365499376196509
2023-07-09,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,102122.58474313728,0.02917788135518208
2023-07-10,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,50449.73806658323,0.014414210876166638
2023-07-12,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,153219.23988671027,0.04377692568191722
2023-07-16,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,53238.90501620167,0.015211115718914764
2023-07-17,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,57718.2118631437,0.016490917675183913
2023-07-19,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,127348.92781028252,0.036385407945795006
2023-07-23,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,115658.30924149737,0.03304523121185639
2023-07-24,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,183929.40838135983,0.052551259537531377
2023-07-26,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,352695.3728644881,0.10077010653271089
2023-07-30,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,176694.7946649477,0.05048422704712791
2023-07-31,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,62642.648867469885,0.017897899676419967
2023-08-02,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,126002.23002917648,0.03600063715119328
2023-08-06,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,234660.1411508705,0.06704575461453444
2023-08-07,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,132079.61219495797,0.03773703205570228
2023-08-09,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,316440.2270608261,0.09041149344595031
2023-08-13,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,153837.00063529413,0.04395342875294118
2023-08-14,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,98827.09845251493,0.028236313843575694
2023-08-16,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,313800.1234838959,0.08965717813825598
2023-08-20,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,174919.73662377286,0.04997706760679224
2023-08-21,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,252942.6840997009,0.07226933831420027
2023-08-23,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,464067.7301364706,0.1325907800389916
2023-08-27,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,482022.4022117647,0.13772068634621848
2023-08-28,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,870472.8532507741,0.24870652950022118
2023-08-30,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,157578.03321579375,0.0450222952045125
2023-09-03,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,286407.7864492476,0.08183079612835646
2023-09-04,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,484049.3594352942,0.1382998169815126
2023-09-06,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,412559.5067813085,0.11787414479465957
2023-09-10,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,377815.8137176471,0.10794737534789918
2023-09-11,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,150872.15423017906,0.04310632978005116
2023-09-14,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,132005.8917558824,0.03771596907310926
2023-09-17,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,254324.5968172869,0.07266417051922483
2023-09-18,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,45759.42623919327,0.013074121782626649
2023-09-20,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,88938.65869404272,0.025411045341155063
2023-09-24,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,159258.74144904508,0.04550249755687002
2023-09-25,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,168873.10473277312,0.048249458495078036
2023-09-27,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,404810.4088116641,0.1156601168033326
2023-10-01,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,130620.42394599812,0.03732012112742803
2023-10-02,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,95662.21705838692,0.027332062016681976
2023-10-04,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,160948.07094759357,0.04598516312788388
2023-10-08,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,111084.3841742324,0.03173839547835212
2023-10-09,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,59091.09640015181,0.016883170400043373
2023-10-11,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,132196.09208861727,0.03777031202531922
2023-10-15,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,87653.78442474383,0.025043938407069668
2023-10-16,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,80222.66076524885,0.022920760218642526
2023-10-18,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,130395.74909522371,0.03725592831292106
2023-10-22,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,177323.80043690404,0.05066394298197258
2023-10-23,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,33223.03511843137,0.009492295748123249
2023-10-25,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,129476.2579134662,0.03699321654670463
2023-10-29,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,61274.50091255702,0.017507000260730578
2023-10-30,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,177802.4713093621,0.05080070608838917
2023-11-01,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,75896.05047355121,0.02168458584958606
2023-11-05,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,60668.61742660634,0.017333890693316097
2023-11-06,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,30021.10183885533,0.00857745766824438
2023-11-08,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,73083.95343529413,0.02088112955294118
2023-11-12,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,267950.2995123906,0.07655722843211159
2023-11-13,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,742557.7643730604,0.21215936124944584
2023-11-15,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,74794.94487811765,0.021369984250890758
2023-11-19,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,196243.07605647063,0.056069450301848754
2023-11-20,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,673476.4399385513,0.19242183998244322
2023-11-22,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,61071.78732130721,0.01744908209180206
2023-11-26,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,152648.61942117653,0.043613891263193295
2023-11-27,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,242044.58166535955,0.0691555947615313
2023-11-29,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,243542.30957860965,0.0695835170224599
2023-12-03,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,345266.5982597463,0.09864759950278465
2023-12-04,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,230360.61111633983,0.06581731746181138
2023-12-06,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,375259.2423529412,0.10721692638655463
2023-12-10,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,139485.14930260766,0.039852899800745044
2023-12-11,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,514124.6465903504,0.14689275616867156
2023-12-13,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,307875.4471107506,0.08796441346021446
