collection_date,site_name,name,sewershed_pop,N_Gene_gc_g_dry_weight,average_temp
2023-05-24,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,56366.791846050415,17.2
2023-05-28,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,51558.00499747798,17.5
2023-05-29,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,38850.461270026346,18.9
2023-05-31,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,83957.03137096911,18.05
2023-06-04,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,45390.17268509804,19.2
2023-06-05,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,78639.82652056025,17.8
2023-06-07,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,95017.2398271658,18.6
2023-06-11,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,31529.14082667902,18.35
2023-06-12,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,55302.780648663815,19.45
2023-06-14,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,59678.876982926085,17.5
2023-06-18,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,41801.46759529411,19.7
2023-06-19,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,74858.31994897236,19.75
2023-06-21,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,49319.14201510097,20.3
2023-06-25,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,78849.0088797801,20.0
2023-06-26,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,81897.45102074866,18.9
2023-06-28,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,65332.3336243215,20.0
2023-07-02,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,35468.65068326375,21.4
2023-07-03,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,96896.64996036854,20.85
2023-07-05,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,117792.47816687782,20.65
2023-07-09,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,102122.58474313728,21.1
2023-07-10,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,50449.73806658323,22.200000000000003
2023-07-12,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,153219.23988671027,24.200000000000003
2023-07-16,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,53238.90501620167,24.15
2023-07-17,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,57718.2118631437,25.85
2023-07-19,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,127348.92781028252,25.0
2023-07-23,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,115658.30924149737,25.25
2023-07-24,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,183929.40838135983,24.75
2023-07-26,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,352695.3728644881,26.95
2023-07-30,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,176694.7946649477,25.85
2023-07-31,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,62642.648867469885,27.200000000000003
2023-08-02,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,126002.23002917648,24.7
2023-08-06,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,234660.1411508705,24.45
2023-08-07,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,132079.61219495797,25.55
2023-08-09,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,316440.2270608261,23.9
2023-08-13,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,153837.00063529413,23.299999999999997
2023-08-14,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,98827.09845251493,23.299999999999997
2023-08-16,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,313800.1234838959,24.15
2023-08-20,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,174919.73662377286,23.35
2023-08-21,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,252942.6840997009,22.799999999999997
2023-08-23,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,464067.7301364706,23.35
2023-08-27,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,482022.4022117647,24.700000000000003
2023-08-28,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,870472.8532507741,27.8
2023-08-30,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,157578.03321579375,26.95
2023-09-03,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,286407.7864492476,22.8
2023-09-04,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,484049.3594352942,21.95
2023-09-06,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,412559.5067813085,23.299999999999997
2023-09-10,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,377815.8137176471,27.5
2023-09-11,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,150872.15423017906,26.4
2023-09-14,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,132005.8917558824,22.2
2023-09-17,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,254324.5968172869,21.1
2023-09-18,Joint Water Pollution Control Plant,"Los Angeles County, CA",3500000,45759.42623919327,21.65
